SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
71,EXP-006,C:\RSOS\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\00_CONTROL\SOURCE\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE.py,00_CONTROL,C:\RSOS\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE.py,68257,1789072970086236200,62f548906e26ee7b87a9354a631dc11c851e7ddb6d1af264c23620e61807dbb6,62f548906e26ee7b87a9354a631dc11c851e7ddb6d1af264c23620e61807dbb6,True,COPIED_AND_VERIFIED,
72,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\07_SEED_LEVEL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\02_INPUTS\SOURCE\07_SEED_LEVEL_RESULTS.csv,02_INPUTS,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,491340,1789074524877568200,bafe758a0148d8d0230391f4e2c2b6517a6972318d7222446c9393ee0ff0e49d,bafe758a0148d8d0230391f4e2c2b6517a6972318d7222446c9393ee0ff0e49d,True,COPIED_AND_VERIFIED,
73,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,8913377,1789074495174237100,69bc6aa5ed8f14ca36db83e0b1933d480fbf982dc265ddf6f6043c380460d4a0,69bc6aa5ed8f14ca36db83e0b1933d480fbf982dc265ddf6f6043c380460d4a0,True,COPIED_AND_VERIFIED,
74,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\06_RESPONSE_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\04_RAW\SOURCE\06_RESPONSE_FEATURES.csv,04_RAW,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,1488532,1789074505540543100,68191259ab1378436619d4f41aed479c603474babd60a2e43f0aeefcc84498ec,68191259ab1378436619d4f41aed479c603474babd60a2e43f0aeefcc84498ec,True,COPIED_AND_VERIFIED,
75,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\15_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\04_RAW\SOURCE\15_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,29,1789074495467042800,ef7e81c3d8aa933723065461d457065c44ef83bc23b388608c3cf79624f58988,ef7e81c3d8aa933723065461d457065c44ef83bc23b388608c3cf79624f58988,True,COPIED_AND_VERIFIED,
76,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\08_FACTORIAL_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\05_OUTPUTS\SOURCE\08_FACTORIAL_CONDITION_RESULTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,10526,1789074524990074100,6327b485477ce32cb33e8d1b18941dfefba2b7d13ca2bee39eea29a5c581eb44,6327b485477ce32cb33e8d1b18941dfefba2b7d13ca2bee39eea29a5c581eb44,True,COPIED_AND_VERIFIED,
77,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\16_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\05_OUTPUTS\SOURCE\16_FINAL_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,6348,1789074567679801300,6198429581f441bdc1d8c3dfdedf015fa1e6e0f26b465011dd61350e5aa46104,6198429581f441bdc1d8c3dfdedf015fa1e6e0f26b465011dd61350e5aa46104,True,COPIED_AND_VERIFIED,
78,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\09_FREEZE\SOURCE\00_FROZEN_RUNNER.py,09_FREEZE,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,68257,1789072970086236200,62f548906e26ee7b87a9354a631dc11c851e7ddb6d1af264c23620e61807dbb6,62f548906e26ee7b87a9354a631dc11c851e7ddb6d1af264c23620e61807dbb6,True,COPIED_AND_VERIFIED,
79,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\09_FREEZE\SOURCE\00_RUNNER_SHA256.txt,09_FREEZE,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,66,1789072974585864800,ed066364c40f1f3fe66c5430c551c22514f21bca8132cdec078bcec2ef529469,ed066364c40f1f3fe66c5430c551c22514f21bca8132cdec078bcec2ef529469,True,COPIED_AND_VERIFIED,
80,EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control\09_FREEZE\SOURCE\03_FROZEN_SPECIFICATION.json,09_FREEZE,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,8690,1789072974587870900,9a1426843d0a3dbe4e3eb03400a9ecd808ab0bf93e516744585abc7ee2ecc1d5,9a1426843d0a3dbe4e3eb03400a9ecd808ab0bf93e516744585abc7ee2ecc1d5,True,COPIED_AND_VERIFIED,
