SOURCE_PATH,DESTINATION_PATH,ORIGINAL_PHASE8G_DESTINATION,SIZE_BYTES,SHA256,HYDRATION_VERSION
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\03_RUNNER\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\03_RUNNER\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_FROZEN_RUNNER.py,57396,41d0b77a31aab388f15e9a45a1160dd1e6f385e4305db2b6efa87174c8a795c9,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_RUNNER_SHA256.txt,66,a3a82cbf352c80dc838a9b46c03d880259798ef00afee114b768198d92ca50c4,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\04_RAW\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\04_RAW\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\01_RAW_RESPONSES.jsonl,6839144,8171b1b5df37c686598509ec825abf30f7dcd5a11b475e908331b8e14f85274c,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\03_FROZEN_SPECIFICATION.json,3429,b28a1a2f663f251a878e902ab9865a9062f8b0a491965eab3f9ce7f0218fe782,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\04_FROZEN_SPECIFICATION_SHA256.txt,66,59597d3f073aaf9f3990e9077a6137ee145712beca846e8275f5c55f351b57a0,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\05_FROZEN_PROMPTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\05_FROZEN_PROMPTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\05_FROZEN_PROMPTS.csv,2206537,99e8e13fe4a23ad5a2f2779a3d183c5332c0671e42d2f0e1f9965a0c231f854d,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\06_RESPONSE_FEATURE_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\06_RESPONSE_FEATURE_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\06_RESPONSE_FEATURE_VECTOR.csv,2066327,4eb1303330fb25bd78a085679767b25e122ad8919bff7fba26b8306223126ffe,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\07_SEED_LEVEL_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\07_SEED_LEVEL_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\07_SEED_LEVEL_VECTOR.csv,299087,f5288e964385987d35585aa954bca4d198456c80763cf4d6706ca0b0f0ff160a,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\08_CONDITION_RESULTS.csv,1765,dd684ac645d094331875ad7c46a8aecf201593bfffd637ca545da6b284cfbb66,PHASE8G_ORIGINAL_VERIFIED
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\09_COORDINATE_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\09_COORDINATE_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\09_COORDINATE_CONTRASTS.csv,2283,dd51c7949d63aa15f04a2669a2f56b1670af1462c6fa263675205a294746ec4a,PHASE8G_ORIGINAL_VERIFIED
