RUN_ID,CANONICAL_ID,CANONICAL_NAME,SOURCE_PATH,SIZE_BYTES_RECORDED,ROLE_SIGNALS,SELECTION_SOURCE,KNOWN_SHA256,HISTORICAL_STATUS,ACTUAL_SIZE_BYTES,DESTINATION_BUCKET,DESTINATION_PATH,PREFLIGHT_STATUS,BLOCK_REASON
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,1781,PROTOCOL,PHASE8F_R2_PRESERVATION_MODE,db269f2d88445dc8b2088c44f9f898def4db950aeb74925734a443a065e1ee02,CONFIRMATORY_RUN,1781,01_PROTOCOL,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,566,OTHER,PHASE8F_R2_PRESERVATION_MODE,8cf8bf55cd119fc3765b7fd70e7a8b054d341d3f73418dfe44a2b4470bfcc4cc,CONFIRMATORY_RUN,566,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,4503233,OTHER,PHASE8F_R2_PRESERVATION_MODE,6a755c68720599a28e439757c762cbdb1f9ccb7df74f479d6c58cdb502e9b886,CONFIRMATORY_RUN,4503233,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,563940,RESULT,PHASE8F_R2_PRESERVATION_MODE,749445ad7bfa7761ab3ea71ce0bb5bc81d3b227ed8bbea27c9a72349cf092e5a,CONFIRMATORY_RUN,563940,05_OUTPUTS,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,136,RESULT,PHASE8F_R2_PRESERVATION_MODE,d849789308673608b57934abf1a0a9e31124fb6589fff78105eeacdddfb02eb2,CONFIRMATORY_RUN,136,05_OUTPUTS,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,563,RESULT,PHASE8F_R2_PRESERVATION_MODE,a6a34f975f94d5284f4f4522fdb8749cefb1eae90d369b247abd6238ca3cbc0c,CONFIRMATORY_RUN,563,05_OUTPUTS,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,1364,RESULT,PHASE8F_R2_PRESERVATION_MODE,67a9b8a93982f640b3cf8d29d601d9e3a86586422926a84ea12cb46e04e78b10,CONFIRMATORY_RUN,1364,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,5725,RESULT,PHASE8F_R2_PRESERVATION_MODE,fbd4a8f39d91e33cdeaedf4df9c9c8a5c35f89ca53c093cd8347b2edde2460fc,CONFIRMATORY_RUN,5725,05_OUTPUTS,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,4306,AUTHORITY,PHASE8F_R2_PRESERVATION_MODE,3fb667a12ba504215d4b0207c12831dacdd7826dab7ff8c01f3ceab754613efd,CONFIRMATORY_RUN,4306,07_ADJUDICATION,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\07_ADJUDICATION\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,31588,RUNNER,PHASE8F_R2_PRESERVATION_MODE,06f8becc2373a3b959e834933709f06f9d5ba972dda204f3e0c28e84df275bac,CONFIRMATORY_RUN,31588,03_RUNNER,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V2\API_V2_PREREGISTRATION.json,1729,PROTOCOL,PHASE8F_R2_PRESERVATION_MODE,c4507b24a0b85746a25dc69cd16ec7e9f87a2160273899b4e38be3acf55aad25,CONFIRMATORY_RUN,1729,01_PROTOCOL,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V2\API_V2_PREREGISTRATION.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_FROZEN_RUNNER.py,52713,AUTHORITY|RUNNER,PHASE8F_R2_PRESERVATION_MODE,88397659b6eddfb3c6fdb60f5e1724ebf1d1f33a2399b868ad0d8a2e991e8a91,CONFIRMATORY_RUN,52713,03_RUNNER,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_FROZEN_RUNNER.py,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_RUNNER_SHA256.txt,66,OTHER,PHASE8F_R2_PRESERVATION_MODE,4c4a61f79885b0d3a223cd1eb45513b4759a736f27ad661bb5fa7712958530aa,CONFIRMATORY_RUN,66,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\00_RUNNER_SHA256.txt,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\03_FROZEN_SPECIFICATION.json,3213,AUTHORITY|PROTOCOL,PHASE8F_R2_PRESERVATION_MODE,6e3834e60e21d50b741e64f0475d9ed7470b58a28afde25d2422629b3466cdab,CONFIRMATORY_RUN,3213,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\03_FROZEN_SPECIFICATION.json,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,66,AUTHORITY|PROTOCOL,PHASE8F_R2_PRESERVATION_MODE,97e928f1695fc414ade5fa5078c71b3692a5e7a4ae68cb66c706afdf23f7a37b,CONFIRMATORY_RUN,66,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\05_FROZEN_PROMPTS.csv,669547,AUTHORITY,PHASE8F_R2_PRESERVATION_MODE,5aedaebca78e1d0c55a503598b9e9184315802298651ccc3803cb1f73f28ce82,CONFIRMATORY_RUN,669547,09_FREEZE,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\05_FROZEN_PROMPTS.csv,PASS,
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\06_SCORED_RESPONSES.csv,341508,RESULT,PHASE8F_R2_PRESERVATION_MODE,a99b31be4119076976f4767b2567b61af0fbcc55b4ee74e8eefed38968fd4a79,CONFIRMATORY_RUN,341508,05_OUTPUTS,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\06_SCORED_RESPONSES.csv,PASS,
