SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
155,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\03_RUNNER\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_FROZEN_RUNNER.py,03_RUNNER,57396,41d0b77a31aab388f15e9a45a1160dd1e6f385e4305db2b6efa87174c8a795c9,41d0b77a31aab388f15e9a45a1160dd1e6f385e4305db2b6efa87174c8a795c9,True,COPIED_AND_VERIFIED,
156,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\00_RUNNER_SHA256.txt,09_FREEZE,66,a3a82cbf352c80dc838a9b46c03d880259798ef00afee114b768198d92ca50c4,a3a82cbf352c80dc838a9b46c03d880259798ef00afee114b768198d92ca50c4,True,COPIED_AND_VERIFIED,
157,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\04_RAW\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\01_RAW_RESPONSES.jsonl,04_RAW,6839144,8171b1b5df37c686598509ec825abf30f7dcd5a11b475e908331b8e14f85274c,8171b1b5df37c686598509ec825abf30f7dcd5a11b475e908331b8e14f85274c,True,COPIED_AND_VERIFIED,
158,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\03_FROZEN_SPECIFICATION.json,09_FREEZE,3429,b28a1a2f663f251a878e902ab9865a9062f8b0a491965eab3f9ce7f0218fe782,b28a1a2f663f251a878e902ab9865a9062f8b0a491965eab3f9ce7f0218fe782,True,COPIED_AND_VERIFIED,
159,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\04_FROZEN_SPECIFICATION_SHA256.txt,09_FREEZE,66,59597d3f073aaf9f3990e9077a6137ee145712beca846e8275f5c55f351b57a0,59597d3f073aaf9f3990e9077a6137ee145712beca846e8275f5c55f351b57a0,True,COPIED_AND_VERIFIED,
160,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\05_FROZEN_PROMPTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\09_FREEZE\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\05_FROZEN_PROMPTS.csv,09_FREEZE,2206537,99e8e13fe4a23ad5a2f2779a3d183c5332c0671e42d2f0e1f9965a0c231f854d,99e8e13fe4a23ad5a2f2779a3d183c5332c0671e42d2f0e1f9965a0c231f854d,True,COPIED_AND_VERIFIED,
161,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\06_RESPONSE_FEATURE_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\06_RESPONSE_FEATURE_VECTOR.csv,05_OUTPUTS,2066327,4eb1303330fb25bd78a085679767b25e122ad8919bff7fba26b8306223126ffe,4eb1303330fb25bd78a085679767b25e122ad8919bff7fba26b8306223126ffe,True,COPIED_AND_VERIFIED,
162,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\07_SEED_LEVEL_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\07_SEED_LEVEL_VECTOR.csv,05_OUTPUTS,299087,f5288e964385987d35585aa954bca4d198456c80763cf4d6706ca0b0f0ff160a,f5288e964385987d35585aa954bca4d198456c80763cf4d6706ca0b0f0ff160a,True,COPIED_AND_VERIFIED,
163,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\08_CONDITION_RESULTS.csv,05_OUTPUTS,1765,dd684ac645d094331875ad7c46a8aecf201593bfffd637ca545da6b284cfbb66,dd684ac645d094331875ad7c46a8aecf201593bfffd637ca545da6b284cfbb66,True,COPIED_AND_VERIFIED,
164,RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\09_COORDINATE_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch\05_OUTPUTS\SOURCE\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\09_COORDINATE_CONTRASTS.csv,05_OUTPUTS,2283,dd51c7949d63aa15f04a2669a2f56b1670af1462c6fa263675205a294746ec4a,dd51c7949d63aa15f04a2669a2f56b1670af1462c6fa263675205a294746ec4a,True,COPIED_AND_VERIFIED,
