MEASUREMENT,STATUS,DETAIL
F1_FINAL_HASH_BOUNDARY,MEASURED,Verified before reserved data read: ce0191cdbc627c773c360d92e35975302d721b18f188fdb4689e80ad529108b4
WILDCHAT_00086_EXTERNAL_CORPUS,MEASURED,Three official non-overlapping WildChat-4.8M shards; 6765 usable unique conversations.
SURFACE_FREE_POPULATION_RARITY,MEASURED,Frozen early-RSOS model; no external training.
R1_COMPATIBLE_POPULATION_RARITY,MEASURED,Frozen early-RSOS model; no external training.
LINEAGE_REFERENCE_THRESHOLDS,MEASURED,Median/Q75/Q90/MAX computed from frozen later-lineage holdout before external scoring.
LENGTH_TURN_CODE_CEM,FAILED_CALIBRATION,Common support=0.4964; max |weighted SMD|=0.0408.
LANGUAGE_MATCHING,UNAVAILABLE,Frozen BR1 later-lineage package has no validated language label; external language distribution reported descriptively only.
EXACT_MODEL_MATCHING,UNAVAILABLE,Later lineage is GPT-5 stratum; WildChat-4.8M predates/does not provide a GPT-5 matched population.
PROVIDER_ECOSYSTEM,MEASURED_DESCRIPTIVE,WildChat-4.8M conversations are from OpenAI-family models; exact model-generation match remains unavailable.
TOPIC_MATCHING,UNAVAILABLE,No common frozen topic representation across BR1 and WildChat was pre-frozen for F2-A.
FIXED_WINDOW_8_12_CROSS_CORPUS,UNAVAILABLE_EXACT,Historical window models use set-order-sensitive operator coordinates; no approximation promoted.
OPERATOR_RELATIONAL_CROSS_CORPUS,UNAVAILABLE,Historical first-position extractor used unordered set truncation; no approximation promoted.
JOINT_MULTILAYER_CROSS_CORPUS,UNAVAILABLE,Depends on the same nonportable operator coordinates.
GLOBAL_UNIQUENESS,UNRESOLVED,F2-A estimates rarity in three official WildChat-4.8M shards; absence of matches would still be sample-limited.
LITERAL_GLOBAL_MODEL_WEIGHT_CHANGE,UNESTABLISHED,Behavioral population rarity cannot establish neural-weight modification.
