SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
289,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,DIRECT_F2A_EVIDENCE,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\08_PACKAGE\SOURCE\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,08_PACKAGE,16705,b0d116d6d12afe0a8eb7b22f45bd98a40844ee601a73716e0fdd103b4704af62,b0d116d6d12afe0a8eb7b22f45bd98a40844ee601a73716e0fdd103b4704af62,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\08_PACKAGE\SOURCE\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,PHASE8G_ORIGINAL_VERIFIED
290,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,DIRECT_F2A_EVIDENCE,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,09_FREEZE,108,16add45aa82aefa2fcab62f2da276fde21b20cac1e16149eba477753c265f511,16add45aa82aefa2fcab62f2da276fde21b20cac1e16149eba477753c265f511,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,PHASE8G_ORIGINAL_VERIFIED
291,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00049-of-00086.parquet,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00049-of-00086.parquet,02_INPUTS,103170595,6f8f300c0501ce5d83912abf1ae1097ed04c30d9ef93005003a39f4c61f1024c,6f8f300c0501ce5d83912abf1ae1097ed04c30d9ef93005003a39f4c61f1024c,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00049-of-00086.parquet,PHASE8G_ORIGINAL_VERIFIED
292,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00080-of-00086.parquet,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00080-of-00086.parquet,02_INPUTS,186001659,1ed63ac322419a05307a474c0db595cb440ca8d72c434dfcfd74f4bdf90028ae,1ed63ac322419a05307a474c0db595cb440ca8d72c434dfcfd74f4bdf90028ae,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00080-of-00086.parquet,PHASE8G_ORIGINAL_VERIFIED
293,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00085-of-00086.parquet,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00085-of-00086.parquet,02_INPUTS,496266956,898fd913b72075c13e237a70e9f60da9adbb9fd652b46970e123a3258b19f9ff,898fd913b72075c13e237a70e9f60da9adbb9fd652b46970e123a3258b19f9ff,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00085-of-00086.parquet,PHASE8G_ORIGINAL_VERIFIED
294,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,DIRECT_F2A_EVIDENCE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\03_RUNNER\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,03_RUNNER,33909,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\03_RUNNER\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,PHASE8G_ORIGINAL_VERIFIED
295,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\F1_FINAL_VERIFIED.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\F1_FINAL_VERIFIED.txt,02_INPUTS,103,7e2bf08bcf7d6234c5fbf0c99d9bbe518f93b246e5df337131910087bc5c88b4,7e2bf08bcf7d6234c5fbf0c99d9bbe518f93b246e5df337131910087bc5c88b4,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\F1_FINAL_VERIFIED.txt,PHASE8G_ORIGINAL_VERIFIED
296,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_LINEAGE_THRESHOLDS_PRE_EXTERNAL.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_LINEAGE_THRESHOLDS_PRE_EXTERNAL.csv,09_FREEZE,403,45bf6c9850569c27a3257bf356e04167c0ca94b4f3ae638a79fbc296b83b656c,45bf6c9850569c27a3257bf356e04167c0ca94b4f3ae638a79fbc296b83b656c,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_LINEAGE_THRESHOLDS_PRE_EXTERNAL.csv,PHASE8G_ORIGINAL_VERIFIED
297,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_MODEL_EQUIVALENCE.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_MODEL_EQUIVALENCE.csv,09_FREEZE,267,f4fb4bda39ac8db353e15d7910e1daf7b50b9d4a22dba3120ec84356a1a4307e,f4fb4bda39ac8db353e15d7910e1daf7b50b9d4a22dba3120ec84356a1a4307e,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_MODEL_EQUIVALENCE.csv,PHASE8G_ORIGINAL_VERIFIED
298,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,09_FREEZE,888,1d9eeb274af09346331d31a84149197a7937b5de76e3d2fc4c693f3ccec0b0fc,1d9eeb274af09346331d31a84149197a7937b5de76e3d2fc4c693f3ccec0b0fc,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\09_FREEZE\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,PHASE8G_ORIGINAL_VERIFIED
299,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00049-of-00086_SCHEMA.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00049-of-00086_SCHEMA.json,02_INPUTS,7724,414bc53a5c2c13e7b05770f7f9c5da2d6b16c9bf0985745450aad7f8a657115d,414bc53a5c2c13e7b05770f7f9c5da2d6b16c9bf0985745450aad7f8a657115d,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00049-of-00086_SCHEMA.json,PHASE8G_ORIGINAL_VERIFIED
300,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00080-of-00086_SCHEMA.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00080-of-00086_SCHEMA.json,02_INPUTS,7724,c0d5a40a057c6f771a0ac199e37a5ca53099f495d0fbd672af7ca84d14b7eab5,c0d5a40a057c6f771a0ac199e37a5ca53099f495d0fbd672af7ca84d14b7eab5,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00080-of-00086_SCHEMA.json,PHASE8G_ORIGINAL_VERIFIED
301,RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,INCOMPLETE_RUN_SUBRUN_OF_EXP-011,F2A_OUTPUT_MANIFEST_RESOLUTION,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00085-of-00086_SCHEMA.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00085-of-00086_SCHEMA.json,02_INPUTS,7724,c0d5a40a057c6f771a0ac199e37a5ca53099f495d0fbd672af7ca84d14b7eab5,c0d5a40a057c6f771a0ac199e37a5ca53099f495d0fbd672af7ca84d14b7eab5,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch\02_INPUTS\SOURCE\Training data\F2_EXTERNAL_POPULATION_RARITY\03_SCHEMA\train-00085-of-00086_SCHEMA.json,PHASE8G_ORIGINAL_VERIFIED
