SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
123,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\00_CONTROL\SOURCE\14_CONTROL_MATCH_AUDIT.csv,00_CONTROL,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,155653,1789224847356568600,b80501f63461247943427d2cf9baf7111e220c702149d3d324a8887dc9526c0d,b80501f63461247943427d2cf9baf7111e220c702149d3d324a8887dc9526c0d,True,COPIED_AND_VERIFIED,
124,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\19_SOURCE_PROVENANCE.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\02_INPUTS\SOURCE\19_SOURCE_PROVENANCE.csv,02_INPUTS,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,106,1789224807630634300,0d9329cda2d9c5e9b7459689d44fa2e7b6d4e86c84037c394f39b7b5417216e7,0d9329cda2d9c5e9b7459689d44fa2e7b6d4e86c84037c394f39b7b5417216e7,True,COPIED_AND_VERIFIED,
125,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,8859126,1789222372925504700,e9e0c8f274a250c4b45663630b9186702b3267e8c5f11e498773cbd11121b800,e9e0c8f274a250c4b45663630b9186702b3267e8c5f11e498773cbd11121b800,True,COPIED_AND_VERIFIED,
126,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\15_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\15_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,93,1789225097522871100,d1b7a3a4d188135d111e0945087365599c874e7d48181098432d24ae5dc4d2b9,d1b7a3a4d188135d111e0945087365599c874e7d48181098432d24ae5dc4d2b9,True,COPIED_AND_VERIFIED,
127,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\17_RAW_API_OBJECTS.jsonl.gz,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\17_RAW_API_OBJECTS.jsonl.gz,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,981179,1789225097498680500,2749ac790ed55f8e729d76c2859bb4f18f7373d09923ecf5dc7836e5d2151fd3,2749ac790ed55f8e729d76c2859bb4f18f7373d09923ecf5dc7836e5d2151fd3,True,COPIED_AND_VERIFIED,
128,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\26_NATIVE_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\26_NATIVE_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,10,1789225097556347600,1f7ee56cbd0f220597f073c7d83cf8b778e1ae6e608603a4b0897a042265afb8,1f7ee56cbd0f220597f073c7d83cf8b778e1ae6e608603a4b0897a042265afb8,True,COPIED_AND_VERIFIED,
129,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\26_NATIVE_RAW.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\26_NATIVE_RAW.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,704039,1789180164071658400,04b12adbfecb72cbb2a74d01d52a11d5e41d4fa51c7d8c31a2d6122fc91d1efc,04b12adbfecb72cbb2a74d01d52a11d5e41d4fa51c7d8c31a2d6122fc91d1efc,True,COPIED_AND_VERIFIED,
130,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\26_NATIVE_RAW_API_OBJECTS.jsonl.gz,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\04_RAW\SOURCE\26_NATIVE_RAW_API_OBJECTS.jsonl.gz,04_RAW,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,100526,1789225097554348400,157e1cbc45762fa9af5997893302e3aa1bffd610d2048d4d953453b2fc2e4ac3,157e1cbc45762fa9af5997893302e3aa1bffd610d2048d4d953453b2fc2e4ac3,True,COPIED_AND_VERIFIED,
131,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\00D_PREFLIGHT_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\05_OUTPUTS\SOURCE\00D_PREFLIGHT_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,194,1789224847364544300,cd40c3d0175039c2efb3993d60bede7f2f066d29f4e4c78c872eb38d6b01f48b,cd40c3d0175039c2efb3993d60bede7f2f066d29f4e4c78c872eb38d6b01f48b,True,COPIED_AND_VERIFIED,
132,EXP-009,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4\02_ERRORS.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map\06_DIAGNOSTIC\SOURCE\02_ERRORS.jsonl,06_DIAGNOSTIC,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,563527,1789225097495676000,a9dd392fa6cd08afda3178d54455061f5aebcd92b91ef9a7c0acf69ed7efec9f,a9dd392fa6cd08afda3178d54455061f5aebcd92b91ef9a7c0acf69ed7efec9f,True,COPIED_AND_VERIFIED,
