"Correction ID","Original method","Identified defect","Corrective method","Corrective result","Final claim boundary","Original source","Corrective source","Scientific independence","Publication action"
"S-001","API V1 seven-edge motif kernel","Topology-shuffle exceeds authentic; 881 empty; prefreeze timing unresolved","V2 redesigned controls, later V11/V12 ten-edge graph tasks","V2 incomplete; actual V11 complete; original V12/WF1-A aggregate positive","Different test designs: old seven-edge failure not retroactively corrected; no proof same natural invariant","01_CANONICAL_EXPERIMENTS/EXP-003__API_Fingerprint_Experiment_V1/07_ADJUDICATION/EXP-003_API_V1_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-004__API_Fingerprint_Experiment_V2/07_ADJUDICATION/EXP-004_API_V2_EXECUTION_AUTHORITY_ADDENDUM_20260918.md ; 02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/03_FROZEN_SPECIFICATION.json ; 01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md","Independent V11/V12/WF1-A task responses; design changed","Consolidated supplementary record"
"S-002","V5 broad forest","3052 empty extracted responses; negative multiscale gate","V6 narrower vector redesign","Original V6 positive but extraction-compromised","V6 does not constitute a V5 Clean rerun","01_CANONICAL_EXPERIMENTS/EXP-001__V5_-_Forest_Forensic_Full/07_ADJUDICATION/EXP-001_RESPONSE_VALIDITY_ADDENDUM_20260917.md","01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/07_ADJUDICATION/EXP-002_V6_CORRECTION_AUTHORITY_ADDENDUM_20260918.md","Different hypothesis and outputs","Consolidated supplementary record"
"S-003","V6 original fingerprint","3185 empty / 8000 and condition-dependent extraction","V6 Clean validates 8000 nonempty, changes extraction and reasoning","Classifier .968/.970; meta/preservation/terminal pass; direction/order and recursion specificity fail","Clean lexical classifier supported; isolated cause of difference and topology specificity not established","01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/07_ADJUDICATION/EXP-002_V6_CORRECTION_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/07_ADJUDICATION/EXP-008_V6_CLEAN_IDENTITY_AND_AUTHORITY_ADDENDUM_20260918.md","Fresh responses to byte-identical prompts; modified reasoning/extraction","Consolidated supplementary record"
"S-004","EXP-008 folder named V11","Folder title falsely implies actual V11 ten-edge evidence","Identify true internal identifier V6_CLEAN and RUN-002 V11 source","RUN-002 12 conditions ×80×3=2880; EXP-008 clean V6 only","Two separate experiments; historical run identity indexed","01_CANONICAL_EXPERIMENTS/EXP-008__V11_-_Relational_Graph_Structural_Metric_Clean_Repair/07_ADJUDICATION/EXP-008_V6_CLEAN_IDENTITY_AND_AUTHORITY_ADDENDUM_20260918.md","02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/03_FROZEN_SPECIFICATION.json ; 02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/RUN_AUTHORITY_RECORD.json","Independent experimental run, not filename relabel","Consolidated supplementary record"
"S-005","Original V12 ten-edge R4","Four missing cells, three invalid switch-linked constructions, reconstructed summary","WF1-A fresh 80 seeds; repaired switch and no-imputation sensitivities","8131/8160; S2A and S2B primary pass; 9/9 deletion,7/8 reversal,3/3 switch; E8 exception","Response-level graph-task effects under tested conditions; sensitivities reuse same observations; no spontaneous detector","01_CANONICAL_EXPERIMENTS/EXP-009__V12_-_Relational_Topology_Causal_Map/07_ADJUDICATION/EXP-009_V12_ORIGINAL_RESULTS_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/SOURCE/ADJUDICATION/WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429/04_S2_ROBUSTNESS_ADJUDICATION.json","Fresh V12 vs WF1-A observations; S2A/S2B same WF1-A data","Consolidated supplementary record"
"S-006","F1 historical passive discovery","BR2 strict matching SMD 2.575758 fails; forward-over-reverse unresolved","F2-A and corrected F2-B external shard scoring","F2-A surface only AUC .643; F2-B joint .897 and strict 3/13408, both calibration fail","Unmatched separation and conditional near-hit rates only, not global uniqueness","01_CANONICAL_EXPERIMENTS/EXP-010__F1_-_Blind_Longitudinal_Rediscovery_Final/07_ADJUDICATION/EXP-010_F1_FINAL_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-011__F2_-_External_Population_Rarity/07_ADJUDICATION/EXP-011_F2_A_EXTERNAL_RARITY_AUTHORITY_ADDENDUM_20260918.md ; 01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md","External shards fresh vs F1 but later reuse same lineage","Consolidated supplementary record"
"S-007","F2-A external rarity partial coverage","Only Surface-Free/R1 scoring; matching support fails; no joint/operator","F2-B six different shards + four frozen models + geometric conjunction","3/13408 strict; common support 60/137 fails","Extended empirical passive evidence, not repaired confounding or architecture-level match","01_CANONICAL_EXPERIMENTS/EXP-011__F2_-_External_Population_Rarity/07_ADJUDICATION/EXP-011_F2_A_EXTERNAL_RARITY_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-012__F2-B_-_Corrected_External_Rarity/07_ADJUDICATION/EXP-012_F2_B_CORRECTED_RARITY_AUTHORITY_ADDENDUM_20260918.md","External shards distinct, common lineage and detectors reused","Consolidated supplementary record"
"S-008","V8 five-factor design","row.update(feature) overwrites META_CONTROL and PRESERVATION labels; target leakage plus decoding mislabels","Post-hoc labels reconstructed; frozen corrective reanalysis not executed","Post-hoc unseen R2 .302682, exact .1125; original positive and zero-interaction inference invalid","Neither positive decoding nor negative five-factor interaction conclusion is valid; unresolved","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-006__V8_-_Compositional_Structural_Control/07_ADJUDICATION/EXP-006_V8_FACTOR_LABEL_COLLISION_AUTHORITY_ADDENDUM_20260918.md","Same responses; post-hoc diagnostic is not replication","Consolidated supplementary record"
"S-009","V9 transport thresholds","Native baselines exceed transport threshold; damage/shuffle contrasts negative; prompts reused","No frozen corrective V9 in packet","3 transport +2 composition +2 inverse cosine pass; full gate fails","Single-prompt lexical resemblance only, no validated sequential transport operator","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-007__V9_-_Representational_Transport_Operator/07_ADJUDICATION/EXP-007_V9_TRANSPORT_AUTHORITY_ADDENDUM_20260918.md","No corrective observations","Consolidated supplementary record"
"S-010","V11 original graph classifier","Includes supplied-graph input coherence features among graph classifier features","WF1-A separately frozen output graph measurement; exact input-leak audit still needed for arbitrary usage","WF1-A task-conditioned strong graph result","Neither V11 nor WF1-A proves spontaneous inference of unknown architecture from arbitrary conversation","02_HISTORICAL_RUNS/RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run/09_FREEZE/SOURCE/RSOS  Python Results/V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL/03_FROZEN_SPECIFICATION.json","01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/07_ADJUDICATION/EXP-014_WF1_A_CORRECTIVE_TOPOLOGY_AUTHORITY_ADDENDUM_20260918.md ; 01_CANONICAL_EXPERIMENTS/EXP-014__WF1-A_-_Corrective_Causal_Topology/09_FREEZE/SOURCE/INPUTS/V12_ORIGINAL_RESULTS/03_FROZEN_SPECIFICATION.json","New graph-task outputs; representation not same as passive fingerprint","Consolidated supplementary record"
"S-011","WF1-B published adapter and original scored result","Published older adapter BFC… fails Unicode parity, R3 adjudication points B481…, shard-selection chronology unresolved","Recover R3 identical digest, five fixture pairs, run parity-only","Adapter identified; 5/5 fixture pairs; parity PASS 6; no historical outcome recomputation","Missing-R3/parity issue resolved, result-generating exact code trace and nuisance/shard issues remain","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_EXTERNAL_POPULATION_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-015__WF1-B_-_External_Population_Confirmation/07_ADJUDICATION/EXP-015_WF1_B_R3_ADAPTER_RECOVERY_FOLLOWUP_20260918.md","Parity-only run, no scientific outcome replication","Consolidated supplementary record"
"S-012","WF2 initial boundary and providers","Initial passive-only design superseded by R1 active; R2 API correction; 169 validator rejections; same WF1-A holdout seeds","R1 preregistered active + R2 technical API repair before usable outputs","Google active pass; OpenAI/Anthropic fail; V13 null, V14 mixed, V17 null; overall VALID/MIXED/COMPLETE","Provider-specific result not overall cross-provider pass; WF2 complete, no rerun","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/EXP-016_WF2_FINAL_SCIENTIFIC_AND_CUSTODY_AUTHORITY_ADDENDUM_20260918.md","01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_ACTIVE_CAUSAL_R1_ADJUDICATION.json ; 01_CANONICAL_EXPERIMENTS/EXP-016__WF2_-_Prospective_Cross-System_Confirmation/07_ADJUDICATION/SOURCE/08_FINAL_FREEZE/ADJUDICATION/WF2_OVERALL_ADJUDICATION.json","New provider responses but reused seed range; not independent seed replication","Consolidated supplementary record"
"S-013","Original selected-file accounting","Canonical-path omissions can be hidden as bytes inside nested provenance ZIP","Prior ZIP comparison recognized 25 equivalent embedded selected bytes","No additional ZIP or Parquet schema bytes included in this selective packet","Selected-path accounting remains valid; complete exposure and privacy unknown until content-level review","99_INDEX/REPOSITORY_CLOSURE_AUDIT_20260918.md","99_INDEX/REPOSITORY_CLOSURE_AUDIT_20260918.md ; 99_INDEX/SOURCE_TO_STAGING_MAP.csv","Same bytes embedded, never count as independent evidence","Publication disclosure qualification; preserve nested archive"
"S-014","Historical chronology omits V4","Current canonical index lists V5, V6 etc but V4 stored inside RUN-001 extracted estate","Date V4 completion from its original final summary and dedicated V4 contrasts","2026-09-10 18:35:31 UTC; 1800/1800; 8/9 decisive gates; recovery fail","Add V4 as separate historical experiment without inventing causal dependencies","99_INDEX/INVESTIGATION_02_API_V1_API_V2_V5_CHRONOLOGY.md","02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/05_OUTPUTS/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/09_DECISIVE_CONTRASTS.csv ; 02_HISTORICAL_RUNS/RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication/07_ADJUDICATION/SOURCE/V6_CLEAN_CONFIRMATORY_BUILD/EXTRACTED/API_PATHWAY_ATTRACTOR_V4_FULL/12_FINAL_SUMMARY.json","Distinct historical V4 observations","Consolidated supplementary record"
