SOURCE_FILE,DESTINATION_FILE,ERROR
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\00_SENSITIVITY_SCENARIO_METADATA.json,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\00_SENSITIVITY_SCENARIO_METADATA.json,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\12_SURFACE_INVARIANCE_TESTS.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\12_SURFACE_INVARIANCE_TESTS.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\21_DEVELOPMENT_DISTANCE_SCALES.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\21_DEVELOPMENT_DISTANCE_SCALES.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\21A_DEVELOPMENT_PRECISION_MATRIX.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\21A_DEVELOPMENT_PRECISION_MATRIX.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\22_DISTANCE_FROM_AUTHENTIC.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\22_DISTANCE_FROM_AUTHENTIC.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\25A_OPERATOR_MANIPULATION_CHECKS.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2A_GROUP_COMPLETE\25A_OPERATOR_MANIPULATION_CHECKS.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\00_SENSITIVITY_SCENARIO_METADATA.json,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\00_SENSITIVITY_SCENARIO_METADATA.json,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\12_SURFACE_INVARIANCE_TESTS.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\12_SURFACE_INVARIANCE_TESTS.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\21_DEVELOPMENT_DISTANCE_SCALES.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\21_DEVELOPMENT_DISTANCE_SCALES.csv,[WinError 3] Системе не удается найти указанный путь
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\21A_DEVELOPMENT_PRECISION_MATRIX.csv,C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-014__WF1-A_-_Corrective_Causal_Topology\00_CONTROL\UNCLASSIFIED_SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\S2B_SEED_COMPLETE\21A_DEVELOPMENT_PRECISION_MATRIX.csv,[WinError 3] Системе не удается найти указанный путь
