EXPERIMENT_ID,CANONICAL_ID,CANONICAL_NAME,TOTAL_REFERENCES,ELIGIBLE_PRIMARY,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE,CROSS_CANONICAL_OVERLAP,SENSITIVE_EXCLUDED,MISSING_SOURCE,TOTAL_REFERENCED_BYTES,ELIGIBLE_PRIMARY_BYTES,UNCLASSIFIED_ELIGIBLE,TOP_SOURCE_CLUSTER,TOP_CLUSTER_FILES,AUDIT_STATUS
EXP-001,CAN-V5-FOREST,V5 - Forest Forensic Full,34,34,0,0,0,0,0,71603994,71603994,7,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,16,PHASE8B_R2_VALIDATED
EXP-002,CAN-V6-STRUCTURAL,V6 - Structural Fingerprint Vector,64,33,0,31,0,0,0,39212996,23054768,6,C:\RSOS\RSOS  Python Results\V6_STRUCTURAL_FINGERPRINT_VECTOR,16,PHASE8B_R2_VALIDATED
EXP-003,CAN-API-FP-V1,API Fingerprint Experiment V1,30,30,0,0,0,0,0,31579652,31579652,4,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,15,PHASE8B_R2_VALIDATED
EXP-004,CAN-API-FP-V2,API Fingerprint Experiment V2,7,7,0,0,0,0,0,18627278,18627278,1,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V2,3,PHASE8B_R2_VALIDATED
EXP-005,CAN-V7-CROSSMODEL,V7 - Cross-Model Deployment Localization,64,33,0,31,0,0,0,35728174,21803495,5,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,16,PHASE8B_R2_VALIDATED
EXP-006,CAN-V8-CONTROL,V8 - Compositional Structural Control,64,33,0,31,0,0,0,46235120,27608377,10,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,16,PHASE8B_R2_VALIDATED
EXP-007,CAN-V9-TRANSPORT,V9 - Representational Transport Operator,68,35,0,33,0,0,0,34408443,20239364,7,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,17,PHASE8B_R2_VALIDATED
EXP-008,CAN-V11-CLEAN,V11 - Relational Graph / Structural Metric Clean Repair,17,17,0,0,0,0,0,17297002,17297002,3,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,17,PHASE8B_R2_VALIDATED
EXP-009,CAN-V12-TOPOLOGY,V12 - Relational Topology Causal Map,77,48,5,22,2,0,0,54622706,40649333,7,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4,23,PHASE8B_R2_VALIDATED
EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,42,42,0,0,0,0,0,2791870666,2791870666,6,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE,21,PHASE8B_R2_VALIDATED
EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,57,56,1,0,0,0,0,2472402017,2472348922,21,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,55,PHASE8B_R2_VALIDATED
EXP-012,CAN-F2-B,F2-B - Corrected External Rarity,939,241,11,645,42,0,0,2455285226,1140251725,137,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE,63,PHASE8B_R2_VALIDATED
EXP-013,CAN-WF1-P0,WF1-P0 - Historical Corpus Bridge,27,25,0,2,0,0,0,354584360,346125402,8,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,16,PHASE8B_R2_VALIDATED
EXP-014,CAN-WF1-A,WF1-A - Corrective Causal / Topology,461,139,3,206,113,0,0,1980791575,55276577,43,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION,66,PHASE8B_R2_VALIDATED
EXP-015,CAN-WF1-B,WF1-B - External Population Confirmation,214,0,2,101,111,0,0,1884167182,0,0,,0,PHASE8B_R2_VALIDATED
EXP-016,CAN-WF2,WF2 - Prospective Cross-System Confirmation,31879,2401,29430,35,13,0,0,953620565,74770933,45,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\04_RAW,2178,PHASE8B_R2_VALIDATED
