SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
1,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\07_SEED_LEVEL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\02_INPUTS\SOURCE\07_SEED_LEVEL_RESULTS.csv,02_INPUTS,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,217570,1789070072729950100,3db94adb9e6cd6fa1c774197a705fd199e7ab7dbb92c5c0bc472447269b6563a,3db94adb9e6cd6fa1c774197a705fd199e7ab7dbb92c5c0bc472447269b6563a,True,COPIED_AND_VERIFIED,
2,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,9228243,1789070061396551100,ef4538c84b8d4d44fd9983696a76a04523aef4665eefb63c23be133b1996171e,ef4538c84b8d4d44fd9983696a76a04523aef4665eefb63c23be133b1996171e,True,COPIED_AND_VERIFIED,
3,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\06_SCORED_RESPONSES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\04_RAW\SOURCE\06_SCORED_RESPONSES.csv,04_RAW,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,1721335,1789070068493854700,c7d040f950883cb2d1fdf012ccffcd31b55667dc9591e955ffd5125ce13bd554,c7d040f950883cb2d1fdf012ccffcd31b55667dc9591e955ffd5125ce13bd554,True,COPIED_AND_VERIFIED,
4,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\11_DOSE_RESPONSE.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\04_RAW\SOURCE\11_DOSE_RESPONSE.csv,04_RAW,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,196,1789070125001288200,d893f321858b90b96ee4802ceba2705098bacb6640bccf7ac3e389733e5bb7bc,d893f321858b90b96ee4802ceba2705098bacb6640bccf7ac3e389733e5bb7bc,True,COPIED_AND_VERIFIED,
5,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\14_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\04_RAW\SOURCE\14_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,29,1789070061930654900,1f9a0bd25c9edc44ca6d444d11354c5214c44c82dd0c41a7000a1a75ebf89af8,1f9a0bd25c9edc44ca6d444d11354c5214c44c82dd0c41a7000a1a75ebf89af8,True,COPIED_AND_VERIFIED,
6,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\05_OUTPUTS\SOURCE\08_CONDITION_RESULTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,2024,1789070072771462400,3f283aa11831156fbd3053945ee0b876ae39b6c5c0e250867cface645b3c8d3c,3f283aa11831156fbd3053945ee0b876ae39b6c5c0e250867cface645b3c8d3c,True,COPIED_AND_VERIFIED,
7,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\09_CONFIRMATORY_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\05_OUTPUTS\SOURCE\09_CONFIRMATORY_CONTRASTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,2959,1789070103228081200,a1d9c9e0d06df9242a33d66f38d36332db8efbff2a3af488bed816a1d891bcf2,a1d9c9e0d06df9242a33d66f38d36332db8efbff2a3af488bed816a1d891bcf2,True,COPIED_AND_VERIFIED,
8,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\15_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\05_OUTPUTS\SOURCE\15_FINAL_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,20018,1789070126478451600,c3fd66e8fbd219b17f1ed6f9b1781ea9f9bff0b1c5d5e15c52a1cd95cd33d0ec,c3fd66e8fbd219b17f1ed6f9b1781ea9f9bff0b1c5d5e15c52a1cd95cd33d0ec,True,COPIED_AND_VERIFIED,
9,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\09_FREEZE\SOURCE\00_FROZEN_RUNNER.py,09_FREEZE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,62838,1789066614023284900,d34e432a92362b2a795951600bcc4a02128244084f77ded9d19f86b4ae8742d0,d34e432a92362b2a795951600bcc4a02128244084f77ded9d19f86b4ae8742d0,True,COPIED_AND_VERIFIED,
10,EXP-001,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full\09_FREEZE\SOURCE\00_RUNNER_SHA256.txt,09_FREEZE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,66,1789066623964802000,05d458c3ef5bc666a8675ff341db5d70a46bd659e3d3d609ab7e95ad3efc8201,05d458c3ef5bc666a8675ff341db5d70a46bd659e3d3d609ab7e95ad3efc8201,True,COPIED_AND_VERIFIED,
