SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
140,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\03_RUNNER\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00_FROZEN_RUNNER.py,03_RUNNER,88547,15ccc15c98cb4c5ba496ae090d80a726a556e481469b922545dda38877991d11,15ccc15c98cb4c5ba496ae090d80a726a556e481469b922545dda38877991d11,True,COPIED_AND_VERIFIED,
141,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\09_FREEZE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00_RUNNER_SHA256.txt,09_FREEZE,66,4adf47295e752cd4fccd78d92991c5bbd91ec6e59c9205e734dced5d0b16cc41,4adf47295e752cd4fccd78d92991c5bbd91ec6e59c9205e734dced5d0b16cc41,True,COPIED_AND_VERIFIED,
142,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\09_FREEZE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\00A_VALID_TEXT_COMPLETENESS.json,09_FREEZE,122,00ca12c6496dd3e52e755d90f7b7554b4a1cd8dee9bb6d2af338ad39f5b077a0,00ca12c6496dd3e52e755d90f7b7554b4a1cd8dee9bb6d2af338ad39f5b077a0,True,COPIED_AND_VERIFIED,
143,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\04_RAW\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\01_RAW_RESPONSES.jsonl,04_RAW,3082210,b71ac8c658a03d6dd3acd9ec132e465068ef55a051aa853c0ad5d236013624fe,b71ac8c658a03d6dd3acd9ec132e465068ef55a051aa853c0ad5d236013624fe,True,COPIED_AND_VERIFIED,
144,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\02_ERRORS.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\06_DIAGNOSTIC\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\02_ERRORS.jsonl,06_DIAGNOSTIC,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,COPIED_AND_VERIFIED,
145,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\09_FREEZE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\03_FROZEN_SPECIFICATION.json,09_FREEZE,2047,76d5c1b2d207b3c47356f6240bc25e07984aa40c24ee1ec1056afd364843ff3c,76d5c1b2d207b3c47356f6240bc25e07984aa40c24ee1ec1056afd364843ff3c,True,COPIED_AND_VERIFIED,
146,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\09_FREEZE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\04_FROZEN_SPECIFICATION_SHA256.txt,09_FREEZE,66,b658a124428cb739923ee60c880c4e1457edb025b72eb55e846afb59c9c3f75d,b658a124428cb739923ee60c880c4e1457edb025b72eb55e846afb59c9c3f75d,True,COPIED_AND_VERIFIED,
147,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\05_FROZEN_PROMPTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\09_FREEZE\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\05_FROZEN_PROMPTS.csv,09_FREEZE,1652924,2cbf212706d331ce7aceccb33b3b63f6442706f23d96ca4229311c56782fd368,2cbf212706d331ce7aceccb33b3b63f6442706f23d96ca4229311c56782fd368,True,COPIED_AND_VERIFIED,
148,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\06_RESPONSE_GRAPH_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\05_OUTPUTS\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\06_RESPONSE_GRAPH_FEATURES.csv,05_OUTPUTS,623806,85d1b82cbd562e4b1205b9e6c58a3eedcb562fc0067dcb3b98c992e72f3a064f,85d1b82cbd562e4b1205b9e6c58a3eedcb562fc0067dcb3b98c992e72f3a064f,True,COPIED_AND_VERIFIED,
149,RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\07_SEED_LEVEL_GRAPH_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run\05_OUTPUTS\SOURCE\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL\07_SEED_LEVEL_GRAPH_VECTOR.csv,05_OUTPUTS,241837,b522b200edfb6523abda257be3cec785e04787c951c606ca72c35938db02c457,b522b200edfb6523abda257be3cec785e04787c951c606ca72c35938db02c457,True,COPIED_AND_VERIFIED,
