RUN_ID,CANONICAL_ID,CANONICAL_NAME,SELECTED_FILES,VERIFIED_FILES,LONGPATH_REPAIRED_FILES,ERRORS,STATUS
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,139,139,0,0,COMPLETE_VERIFIED
RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,15,15,0,0,COMPLETE_VERIFIED
RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,16,16,0,0,COMPLETE_VERIFIED
RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,29,29,0,0,COMPLETE_VERIFIED
RUN-005,CAN-F1-R2,F1 Development R2 - LM Arena Blind Hardened,18,18,0,0,COMPLETE_VERIFIED
RUN-006,CAN-F1-R3,F1 Development R3 - LM Arena Blind Hardened,24,24,2,0,COMPLETE_VERIFIED
RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,21,21,1,0,COMPLETE_VERIFIED
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,26,26,0,0,COMPLETE_VERIFIED
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,44,44,0,0,COMPLETE_VERIFIED
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,200,200,152,0,COMPLETE_VERIFIED
