SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
269,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\00_CONTROL\SOURCE\00_PRE_RUN_MANIFEST.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,626,1789230994192354300,b3741d773f42c06daaf60ff6b180513b467ad4006479ef2403a0f47da0ca7993,b3741d773f42c06daaf60ff6b180513b467ad4006479ef2403a0f47da0ca7993,True,COPIED_AND_VERIFIED,
270,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\00_PROTOCOL.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\01_PROTOCOL\SOURCE\OUTPUT\00_PROTOCOL.txt,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,739,1789230995176080800,d651afb86c33667d0c430c15c48de7aa38832c0af278698ac1d1ef38cd910f59,d651afb86c33667d0c430c15c48de7aa38832c0af278698ac1d1ef38cd910f59,True,COPIED_AND_VERIFIED,
271,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS\CANONICAL_CHATGPT_HISTORICAL_CORPUS.zip,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\02_INPUTS\SOURCE\INPUTS\CANONICAL_CHATGPT_HISTORICAL_CORPUS.zip,02_INPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,64896542,1788638591761120900,bf74c64279616b9b76b8de67e6db460c5199643a2b09755376b6452b8011b1b5,bf74c64279616b9b76b8de67e6db460c5199643a2b09755376b6452b8011b1b5,True,COPIED_AND_VERIFIED,
272,EXP-013,C:\RSOS\RSOS  Python Results\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\03_RUNNER\SOURCE\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,03_RUNNER,C:\RSOS\RSOS  Python Results\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,23894,1789230086013877600,0310865ceded49a29b0da4ef56b4fff0a33a8761b5fd7a7d6aa33bbc135035ce,0310865ceded49a29b0da4ef56b4fff0a33a8761b5fd7a7d6aa33bbc135035ce,True,COPIED_AND_VERIFIED,
273,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\03_RUNNER\SOURCE\__SOURCE_RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,03_RUNNER,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,23894,1789230668180480800,0310865ceded49a29b0da4ef56b4fff0a33a8761b5fd7a7d6aa33bbc135035ce,0310865ceded49a29b0da4ef56b4fff0a33a8761b5fd7a7d6aa33bbc135035ce,True,COPIED_AND_VERIFIED,
274,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\05_MESSAGE_STRUCTURAL_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\05_OUTPUTS\SOURCE\OUTPUT\05_MESSAGE_STRUCTURAL_FEATURES.csv,05_OUTPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,31131840,1789231556888719800,11a89832ad6fe2cbb720e6f4e83a2adc915a57e0941025e3c75788d59cef1764,11a89832ad6fe2cbb720e6f4e83a2adc915a57e0941025e3c75788d59cef1764,True,COPIED_AND_VERIFIED,
275,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\06_CONVERSATION_STRUCTURAL_DYNAMIC_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\05_OUTPUTS\SOURCE\OUTPUT\06_CONVERSATION_STRUCTURAL_DYNAMIC_FEATURES.csv,05_OUTPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,1911595,1789231752567865200,03509be807e0af20c0ef1830f1c98272b68512ca21095473846d2ba36f55a731,03509be807e0af20c0ef1830f1c98272b68512ca21095473846d2ba36f55a731,True,COPIED_AND_VERIFIED,
276,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\10_DISCOVERY_FEATURE_EFFECTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\05_OUTPUTS\SOURCE\OUTPUT\10_DISCOVERY_FEATURE_EFFECTS.csv,05_OUTPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,26471,1789231752941033600,dfd6218d93f52a83771252bc572b1a55f1f45d8affce827a3ca562dcdf171b2f,dfd6218d93f52a83771252bc572b1a55f1f45d8affce827a3ca562dcdf171b2f,True,COPIED_AND_VERIFIED,
277,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\12_TOP50_DISCOVERY_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\05_OUTPUTS\SOURCE\OUTPUT\12_TOP50_DISCOVERY_FEATURES.csv,05_OUTPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,7045,1789231753482667500,309124a69e9c037827c9680a971024d0132bde7decd1f221489afbf7a39d6708,309124a69e9c037827c9680a971024d0132bde7decd1f221489afbf7a39d6708,True,COPIED_AND_VERIFIED,
278,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS\RSOS_CLAIM_DISCOVERY_BUNDLE.zip,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\08_PACKAGE\SOURCE\INPUTS\RSOS_CLAIM_DISCOVERY_BUNDLE.zip,08_PACKAGE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,247557092,1789186420170723100,de73444e88f5bbf09dfaf42509d0bee136dfae4e032cf5edee09a5291d2722f2,de73444e88f5bbf09dfaf42509d0bee136dfae4e032cf5edee09a5291d2722f2,True,COPIED_AND_VERIFIED,
279,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_FREEZE.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\00_PRE_RUN_FREEZE.txt,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,741,1789230994199377400,64251edf7d7c7fac75cdda7f14ae3ee13e584b36b2802d8701273d5df566ae21,64251edf7d7c7fac75cdda7f14ae3ee13e584b36b2802d8701273d5df566ae21,True,COPIED_AND_VERIFIED,
280,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_POST_RUN_OUTPUT_SHA256.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\99_POST_RUN_OUTPUT_SHA256.csv,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,2250,1789231755274043200,6cfd9bfbea436bdb85154c11ba09571910b1945aac68fb4812bff72b630aafbe,6cfd9bfbea436bdb85154c11ba09571910b1945aac68fb4812bff72b630aafbe,True,COPIED_AND_VERIFIED,
281,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_WF1_P0_COMPLETE.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\99_WF1_P0_COMPLETE.txt,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,673,1789231755277045800,1cff0efef379b53c156d15f238a3f0488524af5dddce99a6565b0b6afd3bb8b3,1cff0efef379b53c156d15f238a3f0488524af5dddce99a6565b0b6afd3bb8b3,True,COPIED_AND_VERIFIED,
282,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\ADJUDICATION\WF1_P0_FINAL_ADJUDICATION_AND_FEATURE_FREEZE.zip,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\ADJUDICATION\WF1_P0_FINAL_ADJUDICATION_AND_FEATURE_FREEZE.zip,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,5342,1789232337176947100,a9120a1d477f5876b4f215e16f8813ead4794e9c87b780bccea771f2e60d1a89,a9120a1d477f5876b4f215e16f8813ead4794e9c87b780bccea771f2e60d1a89,True,COPIED_AND_VERIFIED,
283,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\00_INPUT_SHA256.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\OUTPUT\00_INPUT_SHA256.csv,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,396,1789230996475648400,fe8d325de0d6cd1777a60873f88c4429863273bdf3a914318d7694e6bce3f239,fe8d325de0d6cd1777a60873f88c4429863273bdf3a914318d7694e6bce3f239,True,COPIED_AND_VERIFIED,
284,EXP-013,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\99_DISCOVERY_FREEZE.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge\09_FREEZE\SOURCE\OUTPUT\99_DISCOVERY_FREEZE.json,09_FREEZE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE,608,1789231754782119100,8ce58cb1d5288fac495723821bd9b89a17ad6f7001b63d9541354d108dd832df,8ce58cb1d5288fac495723821bd9b89a17ad6f7001b63d9541354d108dd832df,True,COPIED_AND_VERIFIED,
