SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
88,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\12_DAMAGE_CONTROLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\00_CONTROL\SOURCE\12_DAMAGE_CONTROLS.csv,00_CONTROL,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,856,1789075328991672100,db82a347da6b52d9cf9fd9cbf558b8e9c86811039bcb9ff79f2fccc8e35a201f,db82a347da6b52d9cf9fd9cbf558b8e9c86811039bcb9ff79f2fccc8e35a201f,True,COPIED_AND_VERIFIED,
89,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\14_PERMUTATION_CONTROLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\00_CONTROL\SOURCE\14_PERMUTATION_CONTROLS.csv,00_CONTROL,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,389,1789075328991672100,ad5083e53ec253ee7c347ef95f40e76fb6e77f2ab477379f255ebff9521ff229,ad5083e53ec253ee7c347ef95f40e76fb6e77f2ab477379f255ebff9521ff229,True,COPIED_AND_VERIFIED,
90,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\07_SEED_LEVEL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\02_INPUTS\SOURCE\07_SEED_LEVEL_RESULTS.csv,02_INPUTS,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,306778,1789075316877020400,e3f359505ba757e4308ef6c49ef869dc3df5c77d3f2eb776686aa3c6f55cb787,e3f359505ba757e4308ef6c49ef869dc3df5c77d3f2eb776686aa3c6f55cb787,True,COPIED_AND_VERIFIED,
91,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,6010977,1789075309786637300,9c5ddd2947ef82c90913fca65136428b9f7a375f90285cd95998523a1c4c59cb,9c5ddd2947ef82c90913fca65136428b9f7a375f90285cd95998523a1c4c59cb,True,COPIED_AND_VERIFIED,
92,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\06_RESPONSE_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\04_RAW\SOURCE\06_RESPONSE_FEATURES.csv,04_RAW,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,1066649,1789075315870212000,c7ba7a16e92d7ad5ebe3aee067f25fb983780266cfc8ca5667d11b8986c183b0,c7ba7a16e92d7ad5ebe3aee067f25fb983780266cfc8ca5667d11b8986c183b0,True,COPIED_AND_VERIFIED,
93,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\15_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\04_RAW\SOURCE\15_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,29,1789075309944055100,ef7e81c3d8aa933723065461d457065c44ef83bc23b388608c3cf79624f58988,ef7e81c3d8aa933723065461d457065c44ef83bc23b388608c3cf79624f58988,True,COPIED_AND_VERIFIED,
94,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\05_OUTPUTS\SOURCE\08_CONDITION_RESULTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,1336,1789075316877020400,3e6d86c75c1b5bd588cd624ab6dd94056349f7e2ee262879f5de193b994b930a,3e6d86c75c1b5bd588cd624ab6dd94056349f7e2ee262879f5de193b994b930a,True,COPIED_AND_VERIFIED,
95,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\13_TRANSPORT_EFFECT_VECTORS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\05_OUTPUTS\SOURCE\13_TRANSPORT_EFFECT_VECTORS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,1967,1789075328991672100,bf1c9ab85ad957727b3f8ae2b45b053a5a4839bf2ac9135b5674f0953026bd66,bf1c9ab85ad957727b3f8ae2b45b053a5a4839bf2ac9135b5674f0953026bd66,True,COPIED_AND_VERIFIED,
96,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\16_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\05_OUTPUTS\SOURCE\16_FINAL_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,5091,1789075328991672100,d9e462c3b2960f10c80c7a8c363fd6f9d6281db1a4250be8003984f140dcb748,d9e462c3b2960f10c80c7a8c363fd6f9d6281db1a4250be8003984f140dcb748,True,COPIED_AND_VERIFIED,
97,EXP-007,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator\09_FREEZE\SOURCE\00_FROZEN_RUNNER.py,09_FREEZE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,59308,1789074185778704600,98dfcc0c80b79de638a9983403e55917b0a167e4bbe998a8825cb225b09cdbea,98dfcc0c80b79de638a9983403e55917b0a167e4bbe998a8825cb225b09cdbea,True,COPIED_AND_VERIFIED,
