requirement,purpose,required_before_boundary1,file_candidates,zip_member_candidates,phase0_status
FROZEN_DETECTOR,Exact previously frozen lineage detector/model,YES,69,64,CANDIDATE_FOUND
FEATURE_CONTRACT,Exact preprocessing and structural feature definition used by detector,YES,245,471,CANDIDATE_FOUND
THRESHOLD_OR_SCORING_RULE,"Frozen scoring, threshold or decision rule where applicable",YES,65,142,CANDIDATE_FOUND
MATCHED_SOURCE_SUBSET,Historical contexts permitted to initialize prospective generation,YES,482,317,CANDIDATE_FOUND
CONTROL_SUBSET,Comparable frozen control contexts or source population,YES,612,248,CANDIDATE_FOUND
CONTEXT_OR_ID_MAP,Stable identifiers linking contexts to frozen Foundation evidence,YES,166,130,CANDIDATE_FOUND
FROZEN_SCORER_OR_RUNNER,Frozen scoring implementation or compatible reference implementation,YES,310,264,CANDIDATE_FOUND
FREEZE_OR_MANIFEST,Evidence that selected Foundation dependencies were previously frozen,YES,649,840,CANDIDATE_FOUND
PREVIOUS_ADJUDICATION,Authority/status records identifying valid Foundation artifacts,YES,206,119,CANDIDATE_FOUND
SURFACE_INVARIANCE_PRIOR,Historical perturbation evidence usable only to design WF2-C preregistration,REFERENCE_ONLY,82,150,CANDIDATE_FOUND
PROVIDER_OR_MODEL_PRIOR,Historical cross-model evidence usable as context only,REFERENCE_ONLY,97,73,CANDIDATE_FOUND
WF2_PROSPECTIVE_SOURCE_LOCK,Exact source/context rows selected before prospective generation,YES,0,0,TO_CREATE_WF2
WF2_PROVIDER_MODEL_MATRIX,"Provider/model identities, roles and replication cells",YES,0,0,TO_CREATE_WF2
WF2_GENERATION_MATRIX,"Prompts, turn counts, generation parameters and cell structure",YES,0,0,TO_CREATE_WF2
WF2_PERTURBATION_MATRIX,"Predetermined terminology, topic, domain and style transformations",YES,0,0,TO_CREATE_WF2
WF2_RANDOMIZATION_SEED_SCHEDULE,Fixed seed/randomization allocation before observation,YES,0,0,TO_CREATE_WF2
WF2_PRIMARY_ENDPOINTS,"Separate Module A, Module B and Module C outcome definitions",YES,0,0,TO_CREATE_WF2
WF2_DECISION_RULES,"Positive, negative, mixed, null and technical-failure rules",YES,0,0,TO_CREATE_WF2
WF2_FAILURE_LOG_SCHEMA,Missing-cell and API/provider-failure preservation rules,YES,0,0,TO_CREATE_WF2
WF2_INPUT_MANIFEST,Selected Foundation dependencies and WF2 preregistration inputs,YES,0,0,TO_CREATE_WF2
WF2_FROZEN_RUNNER,Runner incapable of detector fitting/tuning after prospective observations,YES,0,0,TO_CREATE_WF2
