SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
263,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\AUTHENTIC_V12_FROZEN_SIGNATURE.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\AUTHENTIC_V12_FROZEN_SIGNATURE.csv,09_FREEZE,752,4efc6c6a9080ec66b37348a92efff463f45dd9847c409dcf86c19145fd96ff1d,4efc6c6a9080ec66b37348a92efff463f45dd9847c409dcf86c19145fd96ff1d,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\AUTHENTIC_V12_FROZEN_SIGNATURE.csv,PHASE8G_ORIGINAL_VERIFIED
264,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\ENVIRONMENT.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\ENVIRONMENT.json,00_CONTROL,280,18afac642a63e6a2da202928d373d38c1a7a369599b62b211b56c94794ad2783,18afac642a63e6a2da202928d373d38c1a7a369599b62b211b56c94794ad2783,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\ENVIRONMENT.json,PHASE8G_ORIGINAL_VERIFIED
265,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,09_FREEZE,66,ff900b3854d45e46f4c382bbd0f08f1f6b7716378f26b98d52540cdf66e31c00,ff900b3854d45e46f4c382bbd0f08f1f6b7716378f26b98d52540cdf66e31c00,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
266,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,09_FREEZE,2731,ee672576e336d2d7dfd4e26e1e4872a4905942c1daefa8a9f1a8a5aef86e0fec,ee672576e336d2d7dfd4e26e1e4872a4905942c1daefa8a9f1a8a5aef86e0fec,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,PHASE8G_ORIGINAL_VERIFIED
267,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,09_FREEZE,66,f49c2ba59ea80529c59cee0a65e4922741acb778b48b24188a1c56644072cc40,f49c2ba59ea80529c59cee0a65e4922741acb778b48b24188a1c56644072cc40,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
268,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\PYTHON_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\PYTHON_RUNNER_SHA256.txt,09_FREEZE,66,b17ab8b5760e697e8ba8503eeab247241e168250ea2990b3e45b804e8857136f,b17ab8b5760e697e8ba8503eeab247241e168250ea2990b3e45b804e8857136f,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\09_FREEZE\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\PYTHON_RUNNER_SHA256.txt,PHASE8G_ORIGINAL_VERIFIED
269,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,05_OUTPUTS,1469,21602c8d439a762fc93a4c954580841aafa4f9760838f5b88ce2896ec143b0af,21602c8d439a762fc93a4c954580841aafa4f9760838f5b88ce2896ec143b0af,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,PHASE8G_ORIGINAL_VERIFIED
270,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,05_OUTPUTS,533,f7155945daa5490285774f2c1a5e2774066be8698511de45d8527f6c4b5642bf,f7155945daa5490285774f2c1a5e2774066be8698511de45d8527f6c4b5642bf,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,PHASE8G_ORIGINAL_VERIFIED
271,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_FINGERPRINT_COLLISIONS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_FINGERPRINT_COLLISIONS.csv,00_CONTROL,427,6a6945d2b5966036de580e827a35072a746b8537a8914761c996af53a5c88de2,6a6945d2b5966036de580e827a35072a746b8537a8914761c996af53a5c88de2,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\00_CONTROL\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_FINGERPRINT_COLLISIONS.csv,PHASE8G_ORIGINAL_VERIFIED
272,RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,RUN_OR_DEVELOPMENT_RECORD,PHASE8F_DIRECT_RUN_AUTHORITY,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_SPECIFICITY_SUMMARY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_SPECIFICITY_SUMMARY.csv,05_OUTPUTS,196,c0b4ee1a20e813f9d166912b3de5c01b6f5a120f4dd9c73fbd9a8ba30800053a,c0b4ee1a20e813f9d166912b3de5c01b6f5a120f4dd9c73fbd9a8ba30800053a,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator\05_OUTPUTS\SOURCE\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\01_GRAPH_SPECIFICITY\GRAPH_SPECIFICITY_SUMMARY.csv,PHASE8G_ORIGINAL_VERIFIED
