SOURCE_FAMILY,CLASSIFICATION,REASON,FILE_NAME,FULL_PATH,SIZE_BYTES,INVALID_SIGNAL_EXCERPT,DEVELOPMENT_SIGNAL_EXCERPT,POSITIVE_SIGNAL_EXCERPT,MIXED_SIGNAL_EXCERPT
F1,AUTHORITATIVE_CANDIDATE,2 positive authority signals,F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,431,,,F1 FINAL COMPLETE LOCAL FREEZE File: C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip SHA256: ce0191cdbc627c773c360d92e35975302d721b18f188fdb4689e80ad529108b4 Created: 2026-09-11 23:48:14 +03:00 Co,
WF1-P0,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00_PRE_RUN_FREEZE.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_FREEZE.txt,741,,,,
WF1-P0,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,00_PRE_RUN_MANIFEST.csv,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_MANIFEST.csv,626,,,,
WF1-P0,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,99_WF1_P0_COMPLETE.txt,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_WF1_P0_COMPLETE.txt,673,,,WF1-P0 — HISTORICAL CORPUS STRUCTURAL-DYNAMIC BRIDGE LOCAL EXECUTION: COMPLETE Timestamp: 2026-09-12 19:49:15 Experiment root: C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE Runner SHA256: 0310865CEDED49A29B0DA4EF56B4FFF0A33A8761B5FD7A7D6AA33BBC,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE_SHA256.txt,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE_SHA256.txt,129,,,,
V11,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,SOURCE_SHA256_MANIFEST.csv,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\SOURCE_SHA256_MANIFEST.csv,5041,,,,
V12,AUTHORITATIVE_CANDIDATE,4 positive authority signals,00_V12_FREEZE_RECORD.txt,C:\RSOS\V12_FINAL_FREEZE\00_V12_FREEZE_RECORD.txt,969,,,V12 RELATIONAL TOPOLOGY CAUSAL MAP — ORIGINAL FROZEN EXPERIMENT Freeze date: 2026-09-12 17:59:58 MAIN Valid cells: 8156 / 8160 Missing cells: 4 / 8160 Completion: 99.95098% NATIVE Valid cells: 720 / 720 Completion: 100% STABLE UN,
V11,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,00A_VALID_TEXT_COMPLETENESS.json,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00A_VALID_TEXT_COMPLETENESS.json,319,,,"s"": 8000, ""unique_success_cells"": 8000, ""valid_text_cells"": 8000, ""empty_text_cells"": 0, ""duplicate_success_cells"": 0, ""scientific_completeness"": true, ""hard_rule"": ""A valid cell requires non-empty visible text. Empty output must never be interpreted as a zero-feature response."" }",
V11,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\16_FINAL_SUMMARY.json,20734,,," 1294809 }, ""estimated_cost_usd"": 1.8500908000000003, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
V11,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,16_FINAL_SUMMARY.json,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_ORIGINAL\16_FINAL_SUMMARY.json,20810,,," 2016850 }, ""estimated_cost_usd"": 2.7129147999999996, ""interpretation_boundary"": ""A positive V6 result supports a reproducible behavioral structural fingerprint vector under frozen interventions. It does not by itself establish modification of global model weights, hidden neural circuitry, training exposure, biological myelination, cross-user transmission or",
F1,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,INPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\INPUT_SHA256_MANIFEST.csv,1157,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,02_SOURCE_COPY_MANIFEST.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\02_SOURCE_COPY_MANIFEST.csv,2472,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,03_CANONICAL_INPUT_SHA256.csv,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\03_CANONICAL_INPUT_SHA256.csv,67379,,,,
F2,AUTHORITATIVE_CANDIDATE,authority filename plus positive status signal,F2_BR2_COMPLETE.marker.json,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\F2_BR2_COMPLETE.marker.json,237,,,"{ ""experiment"": ""F2-BR2"", ""status"": ""COMPLETE"", ""pre_eval_freeze_sha256"": ""b3c2337f36fc3470bbf7787b1f6a7a0c2a8e4ae4709fb354b53332f642d65cd7"", ""repair"": ""minimal deterministic repair of historical unordered-set coordinates",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FINAL_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE\FINAL_SHA256_MANIFEST.csv,7161,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER\PACKAGE_SHA256_MANIFEST.csv,4443,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PACKAGE_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER\PACKAGE_SHA256_MANIFEST.csv,7681,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_B_FRESH_SELECTION_FREEZE.txt,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT\F2_B_FRESH_SELECTION_FREEZE.txt,318,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_EXTERNAL_POPULATION_RARITY_COMPLETE.zip.sha256.txt,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_EXTERNAL_POPULATION_RARITY_COMPLETE.zip.sha256.txt,66,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,MASTER_HANDOFF_MANIFEST.csv,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE\MASTER_HANDOFF_MANIFEST.csv,1492,,,,
V12,DEVELOPMENT_AUDIT_ONLY,development/audit-only signal found,DATASET_MANIFEST.json,C:\RSOS\Training data\LMARENA_V12_V18_UPDATED\00_MANIFEST\DATASET_MANIFEST.json,1281,,"6:08:10.255707+00:00"", ""source_directory"": ""C:\\RSOS\\Training data\\training data"", ""output_directory"": ""C:\\RSOS\\Training data\\LMARENA_V12_V18_UPDATED"", ""dataset_role"": ""DEVELOPMENT_ONLY"", ""confirmatory_use_allowed"": false, ""lmarena_parquet_pattern"": ""train-*-of-00007.parquet"", ""lmarena_shards_ingested"": [ ""train-00000-of-00007.parquet"" ], ""reserved_",""" ], ""frozen_sequence"": ""V12 -> F1(V13+V14) -> F2(V15+V16) -> F3(V17+V18) -> GEF-1"", ""hard_rule"": ""This dataset may develop extractors/features/controls but may not serve as final prospective confirmation or be mixed with reserved external-control shards before signature freeze."" }","1(V13+V14) -> F2(V15+V16) -> F3(V17+V18) -> GEF-1"", ""hard_rule"": ""This dataset may develop extractors/features/controls but may not serve as final prospective confirmation or be mixed with reserved external-control shards before signature freeze."" }"
V12,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,PROCESSING_SUMMARY.csv,C:\RSOS\Training data\LMARENA_V12_V18_UPDATED\00_MANIFEST\PROCESSING_SUMMARY.csv,162,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F1_FINAL_VERIFIED.txt,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\F1_FINAL_VERIFIED.txt,103,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,888,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\06_RARITY_TAILS\LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,213,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_A_OUTPUT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_OUTPUT_SHA256_MANIFEST.csv,5399,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_A_SUMMARY.json,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_SUMMARY.json,6403,,,"mon_support_rate"": 0.49635036496350365, ""max_abs_weighted_smd"": 0.040845884846958815, ""gate"": ""FAILED_CALIBRATION"" }, ""claim_boundary"": ""Population rarity in the three frozen WildChat-4.8M shards only. Global uniqueness and literal model-weight effects remain unresolved/unestablished."" }",
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_A_SUMMARY.txt,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_SUMMARY.txt,1715,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,FULL_PACKAGE_MANIFEST.csv,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE\FULL_PACKAGE_MANIFEST.csv,175,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,SPLIT_SHA256_MANIFEST.csv,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE\SPLIT_SHA256_MANIFEST.csv,459,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,SELECTION_AND_METHOD_FREEZE.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\SELECTION_AND_METHOD_FREEZE.json,1770,,,,
F2,HISTORICAL_REFERENCE_ONLY,insufficient evidence for scientific authority,F2_B_SUMMARY.json,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\07_AUDIT\F2_B_SUMMARY.json,2080,,,"""ONE_IN"": 4469.333333333333, ""LINEAGE_ACTUAL_COVERAGE"": 0.8029197080291971 } ], ""cem_gate"": ""FAILED_CALIBRATION"", ""claim_boundary"": ""Population rarity in six fresh frozen WildChat shards. Absolute global uniqueness and literal neural-weight modification are not established by this experiment alone."" }",
