RUN_ID,CANONICAL_ID,CANONICAL_NAME,FOLDER,STATUS
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication,REFERENCE_RECORD_ONLY
RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run,REFERENCE_RECORD_ONLY
RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch,REFERENCE_RECORD_ONLY
RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1,REFERENCE_RECORD_ONLY
RUN-005,CAN-F1-R2,F1 Development R2 - LM Arena Blind Hardened,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened,REFERENCE_RECORD_ONLY
RUN-006,CAN-F1-R3,F1 Development R3 - LM Arena Blind Hardened,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened,REFERENCE_RECORD_ONLY
RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration,REFERENCE_RECORD_ONLY
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator,REFERENCE_RECORD_ONLY
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch,REFERENCE_RECORD_ONLY
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-010__F2_BR0_Full_Fingerprint_Recovery,REFERENCE_RECORD_ONLY
