SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
106,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\07_SEED_LEVEL_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\02_INPUTS\SOURCE\07_SEED_LEVEL_VECTOR.csv,02_INPUTS,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,320144,1789080792850807600,d25903605c56fc8a581cab1d26f06a7d5fd9b24c2617a2cd2c51c2258f1e01f1,d25903605c56fc8a581cab1d26f06a7d5fd9b24c2617a2cd2c51c2258f1e01f1,True,COPIED_AND_VERIFIED,
107,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,12484086,1789080768808331500,341ecdd4b1704680744fcb97aebaa1204e6f341595957c18f94e27d81345d602,341ecdd4b1704680744fcb97aebaa1204e6f341595957c18f94e27d81345d602,True,COPIED_AND_VERIFIED,
108,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\06_RESPONSE_FEATURE_VECTOR.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\04_RAW\SOURCE\06_RESPONSE_FEATURE_VECTOR.csv,04_RAW,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,2193136,1789080789685030500,4fd1946fbc79896410f6d4eda747780689c67d8a83b9bab6731206123a9aefc4,4fd1946fbc79896410f6d4eda747780689c67d8a83b9bab6731206123a9aefc4,True,COPIED_AND_VERIFIED,
109,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\15_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\04_RAW\SOURCE\15_MISSING_CELLS.csv,04_RAW,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,29,1789080769087012800,1f9a0bd25c9edc44ca6d444d11354c5214c44c82dd0c41a7000a1a75ebf89af8,1f9a0bd25c9edc44ca6d444d11354c5214c44c82dd0c41a7000a1a75ebf89af8,True,COPIED_AND_VERIFIED,
110,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\08_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\05_OUTPUTS\SOURCE\08_CONDITION_RESULTS.csv,05_OUTPUTS,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,1794,1789080792868256500,0207407e91408146ebd65857f32f5579d960d7da0a20021e5572157f5bd0aac1,0207407e91408146ebd65857f32f5579d960d7da0a20021e5572157f5bd0aac1,True,COPIED_AND_VERIFIED,
111,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\09_COORDINATE_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\05_OUTPUTS\SOURCE\09_COORDINATE_CONTRASTS.csv,05_OUTPUTS,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,2163,1789080858963106900,0a717578b81a34f580019cf888ca23fa3c2dfe6fc20274cf7539da942ce4f6dd,0a717578b81a34f580019cf888ca23fa3c2dfe6fc20274cf7539da942ce4f6dd,True,COPIED_AND_VERIFIED,
112,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\11_FINGERPRINT_CLASSIFIER.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\05_OUTPUTS\SOURCE\11_FINGERPRINT_CLASSIFIER.csv,05_OUTPUTS,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,197,1789080914717732500,f2c10c2bffdf8d6fdac36f6d818a15bc87f9bc9faab1d5bd4ac363e94d2e18d4,f2c10c2bffdf8d6fdac36f6d818a15bc87f9bc9faab1d5bd4ac363e94d2e18d4,True,COPIED_AND_VERIFIED,
113,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\16_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\05_OUTPUTS\SOURCE\16_FINAL_SUMMARY.json,05_OUTPUTS,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,20734,1789080918936370400,43bd9c7930fb4ce34e8b0c08ca6580ddd2dfda147628a5e3509bfcf54a8f22f6,43bd9c7930fb4ce34e8b0c08ca6580ddd2dfda147628a5e3509bfcf54a8f22f6,True,COPIED_AND_VERIFIED,
114,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\09_FREEZE\SOURCE\00_FROZEN_RUNNER.py,09_FREEZE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,62743,1789078598022292600,be65c23a9666ea0cbeee05532d8c4e89a1304230a2782e39ab6866c37977297d,be65c23a9666ea0cbeee05532d8c4e89a1304230a2782e39ab6866c37977297d,True,COPIED_AND_VERIFIED,
115,EXP-008,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair\09_FREEZE\SOURCE\00_RUNNER_SHA256.txt,09_FREEZE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,66,1789078615476577700,935d22fa54fcd291b953eab6ee5060876d2cd39d317bf0e6e8aa582de21c8093,935d22fa54fcd291b953eab6ee5060876d2cd39d317bf0e6e8aa582de21c8093,True,COPIED_AND_VERIFIED,
