FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL.zip,V5_FOREST_FORENSIC_FULL.zip,.zip,43503244,2026-09-10T19:03:27.3214195Z,2026-09-10T19:03:34.8991002Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,08_PACKAGE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL.zip,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,62838,2026-09-10T18:57:03.9668327Z,2026-09-10T18:56:54.0232849Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-10T18:57:03.9648020Z,2026-09-10T18:57:03.9648020Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\01_RAW_RESPONSES.jsonl,01_RAW_RESPONSES.jsonl,.jsonl,9228243,2026-09-10T18:57:09.0880392Z,2026-09-10T19:54:21.3965511Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\03_FROZEN_SPECIFICATION.json,03_FROZEN_SPECIFICATION.json,.json,3943,2026-09-10T18:57:03.9681364Z,2026-09-10T18:57:03.9691385Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\04_FROZEN_SPECIFICATION_SHA256.txt,04_FROZEN_SPECIFICATION_SHA256.txt,.txt,66,2026-09-10T18:57:03.9691385Z,2026-09-10T18:57:03.9691385Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\05_FROZEN_PROMPTS.csv,05_FROZEN_PROMPTS.csv,.csv,2758557,2026-09-10T18:57:04.0072088Z,2026-09-10T18:57:04.0812038Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\06_SCORED_RESPONSES.csv,06_SCORED_RESPONSES.csv,.csv,1721335,2026-09-10T19:54:28.3049727Z,2026-09-10T19:54:28.4938547Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\07_SEED_LEVEL_RESULTS.csv,07_SEED_LEVEL_RESULTS.csv,.csv,217570,2026-09-10T19:54:32.7092244Z,2026-09-10T19:54:32.7299501Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,02_INPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL\08_CONDITION_RESULTS.csv,08_CONDITION_RESULTS.csv,.csv,2024,2026-09-10T19:54:32.7704732Z,2026-09-10T19:54:32.7714624Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-001,CAN-V5-FOREST,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V5_FOREST_FORENSIC_FULL,PHASE8B_R2
