SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
54,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\07_SEED_LEVEL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\02_INPUTS\SOURCE\07_SEED_LEVEL_RESULTS.csv,02_INPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,512687,1789076016840044300,36435e9571ce29c824fd11b3f6dc0de32d9ba0a0a590cccc5ab9865a17327d04,36435e9571ce29c824fd11b3f6dc0de32d9ba0a0a590cccc5ab9865a17327d04,True,COPIED_AND_VERIFIED,
55,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\01_RAW_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\04_RAW\SOURCE\01_RAW_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,7815317,1789076008006339200,aaba2502431eb368b080ddb33eb1e89067136b2d9b89886f0d07adb861b284fc,aaba2502431eb368b080ddb33eb1e89067136b2d9b89886f0d07adb861b284fc,True,COPIED_AND_VERIFIED,
56,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\06_RESPONSE_FEATURES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\04_RAW\SOURCE\06_RESPONSE_FEATURES.csv,04_RAW,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,1652389,1789076014747736000,5083016f2a53fa2f3b23fcfca4cb2653f651fc3ec18d2a6fd8d1c7020eef1344,5083016f2a53fa2f3b23fcfca4cb2653f651fc3ec18d2a6fd8d1c7020eef1344,True,COPIED_AND_VERIFIED,
57,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\15_MISSING_CELLS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\04_RAW\SOURCE\15_MISSING_CELLS.csv,04_RAW,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,35,1789076008413324200,15d34e0866a9690457285422de92b5560cee0dc668f1cbb6572a220b21681849,15d34e0866a9690457285422de92b5560cee0dc668f1cbb6572a220b21681849,True,COPIED_AND_VERIFIED,
58,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\08_MODEL_CONDITION_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\05_OUTPUTS\SOURCE\08_MODEL_CONDITION_RESULTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,4441,1789076016886806800,a969f9860e49292259392b3dd8b7bde837c19a0dd072e1d2ebc26eada588f172,a969f9860e49292259392b3dd8b7bde837c19a0dd072e1d2ebc26eada588f172,True,COPIED_AND_VERIFIED,
59,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\09_MODEL_STRUCTURAL_CONTRASTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\05_OUTPUTS\SOURCE\09_MODEL_STRUCTURAL_CONTRASTS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,2870,1789076039308981900,9acb6615d18cc456cfcb86c507e1ff7dc6944cf9ef668a0be6db0ebacadcab98,9acb6615d18cc456cfcb86c507e1ff7dc6944cf9ef668a0be6db0ebacadcab98,True,COPIED_AND_VERIFIED,
60,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\10_MODEL_EFFECT_VECTORS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\05_OUTPUTS\SOURCE\10_MODEL_EFFECT_VECTORS.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,382,1789076039308981900,2e229d18e3dd3bb789848b8576b10bbc25ab264107a39c4feed517f1f3278dd1,2e229d18e3dd3bb789848b8576b10bbc25ab264107a39c4feed517f1f3278dd1,True,COPIED_AND_VERIFIED,
61,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\11_CROSS_MODEL_VECTOR_SIMILARITY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\05_OUTPUTS\SOURCE\11_CROSS_MODEL_VECTOR_SIMILARITY.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,244,1789076039324590800,85a7be271c8c69ff4887c9fdb3a90938564c7f4a1e40d266ca6df2ef678f87fd,85a7be271c8c69ff4887c9fdb3a90938564c7f4a1e40d266ca6df2ef678f87fd,True,COPIED_AND_VERIFIED,
62,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\16_FINAL_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\05_OUTPUTS\SOURCE\16_FINAL_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,12447,1789076043698565800,25ae616f1ec84684b4e648776b2bcca693310cd2c116e167df1f1a17f4b6d626,25ae616f1ec84684b4e648776b2bcca693310cd2c116e167df1f1a17f4b6d626,True,COPIED_AND_VERIFIED,
63,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\00_FROZEN_RUNNER.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\09_FREEZE\SOURCE\00_FROZEN_RUNNER.py,09_FREEZE,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,63499,1789072582454751500,0f0122950580a301f4a972a751e6076b3af32618006aa370efb772a0e07e52ce,0f0122950580a301f4a972a751e6076b3af32618006aa370efb772a0e07e52ce,True,COPIED_AND_VERIFIED,
64,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\00_RUNNER_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\09_FREEZE\SOURCE\00_RUNNER_SHA256.txt,09_FREEZE,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,66,1789072586031516600,2d631e1b0ee711b31a4393cebd5fdea934b898664fcf920508ad44ca9f89fae9,2d631e1b0ee711b31a4393cebd5fdea934b898664fcf920508ad44ca9f89fae9,True,COPIED_AND_VERIFIED,
65,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\03_FROZEN_SPECIFICATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\09_FREEZE\SOURCE\03_FROZEN_SPECIFICATION.json,09_FREEZE,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,2067,1789072586031516600,44b9a092df3b869759eaac7d873ea32f810119c44d74e40edbc3aea36578693e,44b9a092df3b869759eaac7d873ea32f810119c44d74e40edbc3aea36578693e,True,COPIED_AND_VERIFIED,
66,EXP-005,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION\04_FROZEN_SPECIFICATION_SHA256.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization\09_FREEZE\SOURCE\04_FROZEN_SPECIFICATION_SHA256.txt,09_FREEZE,C:\RSOS\RSOS  Python Results\V7_CROSSMODEL_DEPLOYMENT_LOCALIZATION,66,1789072586031516600,47d5bd05bff8f4897fed506dad2efafb5a5911b4c0dd38f4725c2af299c2d2c3,47d5bd05bff8f4897fed506dad2efafb5a5911b4c0dd38f4725c2af299c2d2c3,True,COPIED_AND_VERIFIED,
