"Finding ID","Experiment/run","Claim","Endpoint","Sample/unit","Result","Primary/secondary","Controls","Method validity","Supersession","Independent evidence","Supported claim","Unsupported extension","Source","Publication action"
"F-001","EXP-001 V5","Authentic forest score exceeds shuffled controls","Frozen multiscale forest aggregate","9,600 nominal API calls; 3,052 empty","Shuffled exceeded authentic; broad gate NOT_SUPPORTED","Primary","Topology shuffled; original other controls","RESPONSE_INVALIDITY","V6 redesign, not V5 clean replication","Original sample; not a new replication","Original broad gate failed under compromised measurement","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-001__V5_-_Forest_Forensic_Full/07_ADJUDICATION/EXP-001_RESPONSE_VALIDITY_ADDENDUM_20260917.md [SHA256 E637DBB128F4…] ; 01_CANONICAL_EXPERIMENTS/EXP-001__V5_-_Forest_Forensic_Full/05_OUTPUTS/SOURCE/08_CONDITION_RESULTS.csv [SHA256 3F283AA11831…]","Preserve; qualify in master index"
"F-002","EXP-001 V5","Raw response validity differs from API success","Nonempty extracted response","9,600 reported successes","6,548 nonempty / 3,052 empty","Methodological audit","As specified in source","INVALID_CONTAMINATED","None","Original sample; not a new replication","V5 original contrasts are not clean confirmatory measurements","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-001__V5_-_Forest_Forensic_Full/07_ADJUDICATION/EXP-001_RESPONSE_VALIDITY_ADDENDUM_20260917.md [SHA256 E637DBB128F4…]","Index addendum"
"F-003","EXP-002 V6","Historical lexical fingerprint discriminates conditions","Confirmation / holdout AUC","8,000 nominal calls; seed-based","AUC ≈ 0.944 / 0.930; 3,185 empty responses","Primary original","Recursion, complexity, direction and order controls","INVALID_RESPONSE_CONTAMINATION","V6 Clean EXP-008","Same original V6 data copied into RUN-001/003/010","Reported discrimination is historical and response-invalidity qualified","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/07_ADJUDICATION/EXP-002_V6_CORRECTION_AUTHORITY_ADDENDUM_20260918.md [SHA256 F037BF314FD7…] ; 01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 B65ECE24EC50…]","Index addendum"
"F-004","EXP-002 V6","Original coordinate effects","Five lexical coordinate contrasts","100 seeds; original V6","Original strong interpretation superseded at coordinate level","Secondary","Lexical vocabulary overlaps recursion control","PARTIAL","EXP-008 Clean changes extraction AND reasoning configuration","Original sample; not a new replication","Original coordinates retained as historical only","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/07_ADJUDICATION/EXP-002_V6_CORRECTION_AUTHORITY_ADDENDUM_20260918.md [SHA256 F037BF314FD7…] ; 01_CANONICAL_EXPERIMENTS/EXP-002__V6_-_Structural_Fingerprint_Vector/09_FREEZE/SOURCE/03_FROZEN_SPECIFICATION.json [SHA256 B28A1A2F663F…]","Index addendum"
"F-005","EXP-003 API V1","Authentic seven-edge motif superiority","Kernel mean authentic vs shuffled/decoupled","5,000 nominal calls; 1,000/condition","1.196 vs 1.336 / 1.208; primary FAIL","Primary","Topology-shuffled; ingredients-decoupled","INVALID_RESPONSE_CONTAMINATION_AND_FREEZE_UNRESOLVED","API V2 redesign; V11 different ten-edge test","Original sample; not a new replication","Specific seven-edge kernel superiority not supported under original measurement","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-003__API_Fingerprint_Experiment_V1/07_ADJUDICATION/EXP-003_API_V1_AUTHORITY_ADDENDUM_20260918.md [SHA256 230A4B54812D…]","Index addendum"
"F-006","EXP-003 API V1","Response extraction and preregistration timing","Valid responses and earliest timestamps","5,000 nominal calls","881 empty; earliest raw 15:54:36 UTC vs freeze file 16:34:47 UTC","Method/custody","Condition-specific empty counts","INVALID_CONTAMINATION_AND_CHRONOLOGY_UNRESOLVED","None","Original sample; not a new replication","Exact pre-observation frozen bytes not authenticated by surviving file timestamps","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-003__API_Fingerprint_Experiment_V1/07_ADJUDICATION/EXP-003_API_V1_AUTHORITY_ADDENDUM_20260918.md [SHA256 230A4B54812D…]","Index addendum"
"F-007","EXP-004 API V2","Revised eight-condition topology predictions","T0>T1 and T0>T2 seed-paired tests","Planned 100 seeds × 5 repetitions × 8=4,000","211 successes; confirmatory test not completed","Primary","Topology shuffled; ingredients decoupled; six other conditions","TECHNICALLY_INCOMPLETE","No completed V2 positive rerun in packet","Original sample; not a new replication","Partial responses preserved; no confirmatory V2 result","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-004__API_Fingerprint_Experiment_V2/07_ADJUDICATION/EXP-004_API_V2_EXECUTION_AUTHORITY_ADDENDUM_20260918.md [SHA256 07B1B464EC33…]","Index addendum"
"F-008","EXP-004 API V2","Pre-observation freeze chronology","Recorded successful response vs spec creation","Partial execution","First successful 17:52:11 vs preregistration 17:54:53 UTC","Custody","Timestamp audit","CHRONOLOGY_UNRESOLVED","None","Original sample; not a new replication","Published files do not independently show exact preregistration existed before first success","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-004__API_Fingerprint_Experiment_V2/07_ADJUDICATION/EXP-004_API_V2_EXECUTION_AUTHORITY_ADDENDUM_20260918.md [SHA256 07B1B464EC33…]","Index addendum"
"F-009","EXP-005 V7","Five-coordinate effect-vector similarity across model variants","Three pairwise cosine tests","3 model configurations; 60 seeds; 6,480 responses","0.772600 / 0.935952 / 0.541363; 1/3 ≥0.85; overall FAIL","Primary","Cross-model pairwise geometric gate","VALID_LEXICAL_METRIC_WITH_LIMITS","None","Original sample; not a new replication","Full five-coordinate geometric replication gate failed","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/07_ADJUDICATION/EXP-005_V7_CROSS_MODEL_AUTHORITY_ADDENDUM_20260918.md [SHA256 DCAE51BD92DF…] ; 01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/05_OUTPUTS/SOURCE/16_FINAL_SUMMARY.json [SHA256 25AE616F1EC8…] ; 01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/09_FREEZE/SOURCE/03_FROZEN_SPECIFICATION.json [SHA256 44B9A092DF3B…]","Index addendum"
"F-010","EXP-005 V7","Component coordinate response contrasts generalize across models","Coordinate passes","Luna/Terra/Sol; 60 seeds/model","5/5, 5/5, 4/5; direction/meta/preservation/terminal across all; order not across all","Secondary","Condition ablations; Holm; lexical output scoring","PARTIAL","Not a provider-independent replication","Original sample; not a new replication","Four of five predefined lexical-coordinate contrasts significant across three tested configurations","No model-weight or global-uniqueness inference","01_CANONICAL_EXPERIMENTS/EXP-005__V7_-_Cross-Model_Deployment_Localization/07_ADJUDICATION/EXP-005_V7_CROSS_MODEL_AUTHORITY_ADDENDUM_20260918.md [SHA256 DCAE51BD92DF…]","Index addendum"
